Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
low-10,halfcheetah,constant,20,none,iql,10,1249,28.6
low-10,halfcheetah,constant,20,none,iql,100,1249,29.1
medium-expert-v0,walker2d,constant,20,none,iql,100,1099,105.0
medium-expert-v0,walker2d,constant,20,none,iql,1000,1099,106.1
medium-expert-v0,walker2d,constant,20,none,iql,10,1099,109.0
medium-expert-v0,hopper,constant,20,none,iql,1000,549,112.5
medium-expert-v0,hopper,constant,20,none,iql,100,549,112.2
medium-expert-v0,hopper,constant,20,none,iql,10,549,112.9
medium-replay-v0,hopper,constant,20,none,iql,10,249,44.5
medium-replay-v0,hopper,constant,20,none,iql,1000,249,35.1
medium-replay-v0,hopper,constant,20,none,iql,100,249,37.7
random-v0,hopper,constant,20,none,iql,100,1899,11.0
random-v0,hopper,constant,20,none,iql,1000,1899,11.0
random-v0,hopper,constant,20,none,iql,10,1899,11.1
medium-v0,hopper,constant,20,none,iql,10,199,74.5
medium-v0,hopper,constant,20,none,iql,100,199,9.4
medium-v0,hopper,constant,20,none,iql,1000,199,51.8
medium-v0,walker2d,constant,20,none,iql,1000,1199,61.4
medium-v0,walker2d,constant,20,none,iql,100,1199,59.7
medium-v0,walker2d,constant,20,none,iql,10,1199,68.0
medium-expert-v0,halfcheetah,constant,20,none,iql,10,1549,41.7
medium-expert-v0,halfcheetah,constant,20,none,iql,1000,1549,46.0
medium-expert-v0,halfcheetah,constant,20,none,iql,100,1549,46.0
random-v0,walker2d,constant,20,none,iql,1000,249,7.1
random-v0,walker2d,constant,20,none,iql,100,249,7.8
random-v0,walker2d,constant,20,none,iql,10,249,7.3
medium-replay-v0,walker2d,constant,20,none,iql,100,749,17.2
medium-replay-v0,walker2d,constant,20,none,iql,1000,749,12.8
medium-replay-v0,walker2d,constant,20,none,iql,10,749,17.4
medium-v0,halfcheetah,constant,20,none,iql,10,1699,40.6
medium-v0,halfcheetah,constant,20,none,iql,100,1699,40.7
medium-v0,halfcheetah,constant,20,none,iql,1000,1699,40.6
medium-replay-v0,halfcheetah,constant,20,none,iql,1000,549,41.1
medium-replay-v0,halfcheetah,constant,20,none,iql,10,549,40.7
medium-replay-v0,halfcheetah,constant,20,none,iql,100,549,41.3
random-v0,halfcheetah,constant,20,none,iql,10,1249,2.4
random-v0,halfcheetah,constant,20,none,iql,1000,1249,11.9
random-v0,halfcheetah,constant,20,none,iql,100,1249,3.9
